Course,full_name,location,type,par,designer,description
Boavista,Boavista Golf & Spa Resort,"Lagos, Algarve, Portugal",Parkland,71.0,Howard Swan,"A parkland course with stunning Atlantic Ocean views, designed by Howard Swan. The course splits into two distinct sections offering varied challenges."
Ashdown,Royal Ashdown Forest Golf Club (Old Course),"East Sussex, England",Heathland,,,"A unique heathland course with no bunkers, relying entirely on natural features for its challenge. Set high above sea level with spectacular views."
Lingfield,Lingfield Park Golf Club,"Surrey, England",Parkland,72.0,Harvey Jarrett,"A mature parkland course featuring grand trees and water hazards, offering a challenging but fair test in beautiful Surrey countryside."
Crowborough,Crowborough Beacon Golf Club,"East Sussex, England",Heathland,71.0,Dr. Alister MacKenzie (redesigned 8 holes),"A classic heathland course at high elevation, with MacKenzie-designed holes and stunning panoramic views across the South Downs."
Bletchingley,Bletchingley Golf Club,"Surrey, England",Parkland,72.0,Paul Wright,A modern parkland course known for its excellent drainage and fast playing conditions. Features mature oaks and strategic design on undulating terrain.
Palmares - Lagos / Praia,Palmares Golf,"Lagos, Algarve, Portugal",Parkland and Links,,Robert Trent Jones Jr.,"A unique 27-hole resort combining parkland, lakeside and links golf. The Praia loop offers pure seaside links while Alvor and Lagos provide parkland challenges."
Palmares - Praia / Alvor,Palmares Golf,"Lagos, Algarve, Portugal",Links and Parkland,,Robert Trent Jones Jr.,"Different combination of the 27-hole Palmares layout, mixing the parkland Alvor nine with the dramatic seaside links of Praia."
Palmares - Alvor / Lagos,Palmares Golf,"Lagos, Algarve, Portugal",Parkland,,Robert Trent Jones Jr.,"The most parkland-oriented combination at Palmares, featuring tree-lined fairways and strategic water hazards."
PGA Catalunya - Tour,Camiral Golf & Wellness - Tour Course,"Girona, Catalonia, Spain",Parkland,,Angel Gallardo and Neil Coles (European Tour design),"The second championship course at PGA Catalunya Resort, offering excellent golf in a slightly more forgiving layout than its famous Stadium sibling."
PGA Catalunya - Stadium,Camiral Golf & Wellness - Stadium Course,"Girona, Catalonia, Spain",Championship Parkland,72.0,Angel Gallardo and Neil Coles (European Tour),"Spain's premier golf course, designed by the European Tour. A world-class championship test that has hosted professional tournaments and consistently ranks among Europe's elite."
Costa Brava,Club de Golf Costa Brava,"Catalonia, Spain",Parkland/Woodland,70.0,"John Hamilton Stutt (original), Jorge Soler Peix (new holes)",A woodland parkland course with contrasting nines - a technical tree-lined front nine followed by a more open and relaxed back nine.
El Prat - Rosa,Real Club de Golf El Prat - Rosa (Pink) Course,"Barcelona, Catalonia, Spain",Parkland,72.0,Greg Norman (45 holes total),The most prestigious of El Prat's three 18-hole configurations. A Greg Norman design that has hosted the Spanish Open multiple times.
El Prat - Azul,Real Club de Golf El Prat - Azul Course,"Barcelona, Catalonia, Spain",Parkland,72.0,Greg Norman,"Note: El Prat has three courses - Rosa (Pink), Amarillo (Yellow), and Verde (Green). 'Azul' (Blue) may refer to one of these configurations or a routing variation."
Praia D'El Rey,Praia D'El Rey Golf & Beach Resort,"Obidos, Lisbon Coast, Portugal",Links and Parkland,73.0,Cabell B. Robinson,"A spectacular course mixing parkland and links golf, with the back nine featuring dramatic coastal dunes. Highly ranked in European and world golf."
Bom Sucesso,Guardian Bom Sucesso Golf,"Caldas da Rainha/Obidos, Lisbon Coast, Portugal",Parkland,72.0,Donald Steel (Martin Ebert as lead architect),A Donald Steel design featuring contrasting nines - flat opening nine followed by hillier back nine with spectacular lagoon views.
Royal Óbidos,Royal Obidos Spa & Golf Resort,"Obidos, Lisbon Coast, Portugal",Parkland,72.0,Seve Ballesteros,"Seve Ballesteros' final course design, a challenging championship layout with dramatic water features. Hosts European Challenge Tour events."
Quinta da Marinha,Quinta da Marinha Golf Course,"Cascais, Estoril Coast, Portugal",Parkland,71.0,Robert Trent Jones Sr.,"A classic Robert Trent Jones Sr. design featuring elevated targets, abundant bunkering, and spectacular ocean views. Set within a private pine forest estate."
Penha Longa,The Ritz-Carlton Penha Longa - Atlantic Course,"Sintra, Lisbon Coast, Portugal",Mountain Parkland,72.0,Robert Trent Jones Jr.,"A dramatic mountain course in the Sintra hills, known for its steep terrain and breathtaking coastal views. Considered one of Portugal's most challenging layouts."
Oitavos Dunes,Oitavos Dunes Natural Links Golf,"Cascais, Lisbon Coast, Portugal",Links,71.0,Arthur Hills,"Portugal's premier golf course, a pure links design along the rugged Atlantic coast. Features natural dunes and has hosted multiple Portuguese Opens."
Royal Cinque Ports,Royal Cinque Ports Golf Club,"Deal, Kent, England",Links,71.0,,"A formidable championship links that hosted two Open Championships. Known as one of the toughest tests on the Kent coast, particularly when the wind blows."
Prince's - Dunes / Himalayas,Prince's Golf Club,"Sandwich, Kent, England",Links,36.0,Mackenzie and Ebert (Himalayas redesign),"A 27-hole championship links offering authentic, classic links golf. Hosted the Open Championship and will host the 2030 Walker Cup. Three superb nines combine in various configurations."
